County,Quarterly,January,February,March,Total,Average,March,Total
"DuPage County, Illinois","34,270","560,809","559,496","562,158","9,915,289,961","1,360",1.08,1.08
"Edgar County, Illinois",319,"5,785","5,782","5,698","60,353,319",807,0.97,0.94
"Edwards County, Illinois",137,"2,012","2,028","2,023","20,590,764",784,1.03,1.06
"Effingham County, Illinois","1,131","19,873","19,926","20,114","198,035,259",763,1.07,1.05
"Fayette County, Illinois",426,"4,033","4,041","4,140","33,730,628",637,0.91,0.83
"Ford County, Illinois",306,"3,919","3,887","3,905","44,223,355",871,0.98,1.02
"Franklin County, Illinois",652,"6,859","6,891","6,902","64,050,659",716,0.93,0.91
"Fulton County, Illinois",573,"5,853","5,820","5,938","50,428,038",661,0.85,0.82
"Gallatin County, Illinois",103,924,925,934,"11,507,162",954,0.94,1.01
"Greene County, Illinois",187,"1,601","1,633","1,658","13,345,119",630,0.84,0.85
"Grundy County, Illinois","1,117","16,307","16,207","16,601","285,159,126","1,340",1,1.05
"Hamilton County, Illinois",176,"1,467","1,467","1,475","17,773,516",930,0.86,0.93
"Hancock County, Illinois",342,"3,068","2,979","3,049","26,488,484",672,0.89,0.92
"Hardin County, Illinois",54,475,471,474,"3,331,797",541,0.89,0.88
"Henderson County, Illinois",102,661,634,662,"4,458,307",526,0.76,0.75
"Henry County, Illinois",918,"10,273","10,218","10,344","103,699,588",776,0.88,0.9
"Iroquois County, Illinois",618,"6,256","6,210","6,302","52,423,489",645,0.97,0.97
"Jackson County, Illinois","1,118","16,653","16,601","16,859","168,559,445",776,0.79,0.67
"Jasper County, Illinois",215,"1,417","1,411","1,433","15,013,699",813,0.85,0.88
"Jefferson County, Illinois",823,"17,771","17,798","17,742","187,805,464",813,1.04,1.03
"Jersey County, Illinois",371,"3,631","3,660","3,747","30,155,636",630,0.9,0.84
"Jo Daviess County, Illinois",677,"5,556","5,515","5,538","46,384,057",644,0.95,0.91
"Johnson County, Illinois",156,"1,041","1,063","1,071","7,549,904",549,0.55,0.36
"Kane County, Illinois","12,431","178,408","177,533","178,151","2,140,570,790",925,1,0.97
"Kankakee County, Illinois","2,140","37,331","37,096","37,698","408,787,272",841,1,0.99
"Kendall County, Illinois","2,113","22,477","22,442","22,442","241,309,843",827,0.93,0.91
"Knox County, Illinois",954,"14,149","14,147","14,279","125,769,792",682,0.97,0.93
"Lake County, Illinois","19,874","291,516","290,390","291,198","6,865,999,963","1,815",1.03,1.07
"LaSalle County, Illinois","2,377","34,702","34,339","34,976","420,324,692",933,0.99,0.99
"Lawrence County, Illinois",224,"3,428","3,422","3,406","36,120,992",813,0.89,0.87
"Lee County, Illinois",641,"10,146","9,902","9,911","113,365,610",873,0.91,0.87
"Livingston County, Illinois",791,"10,756","10,777","10,892","124,531,724",886,0.93,0.92
"Logan County, Illinois",483,"7,081","7,140","7,218","74,057,811",797,0.94,0.89
"McDonough County, Illinois",547,"6,965","7,038","7,096","57,577,800",630,0.78,0.63
"McHenry County, Illinois","7,694","80,538","79,880","80,278","875,829,249",840,1,0.98
"McLean County, Illinois","3,232","68,784","68,765","68,686","1,020,160,982","1,142",1,1.02
"Macon County, Illinois","2,075","42,426","42,411","42,357","613,937,698","1,114",1.05,1.06
"Macoupin County, Illinois",788,"7,812","7,900","7,915","72,501,070",708,0.91,0.93
"Madison County, Illinois","5,189","85,408","84,964","85,823","966,540,102",871,1.01,0.99
"Marion County, Illinois",759,"10,653","10,536","10,643","102,535,608",743,0.99,0.98
"Marshall County, Illinois",228,"2,267","2,236","2,287","21,773,439",740,0.98,0.99
"Mason County, Illinois",270,"1,898","1,873","1,897","17,449,488",710,0.76,0.77
"Massac County, Illinois",183,"2,190","2,202","2,202","27,164,253",951,0.85,0.89
"Menard County, Illinois",190,"1,016",972,989,"7,902,073",613,0.7,0.71
"Mercer County, Illinois",237,"2,372","2,331","2,357","20,695,969",676,0.88,0.9
"Monroe County, Illinois",735,"7,035","7,078","7,156","60,881,394",661,0.99,0.96
"Montgomery County, Illinois",622,"6,881","6,852","6,941","65,607,813",732,0.94,0.9
"Morgan County, Illinois",699,"11,458","11,537","11,648","124,273,376",828,0.98,0.96
"Moultrie County, Illinois",317,"4,460","4,503","4,597","49,636,333",845,1.06,1.07
"Ogle County, Illinois",945,"12,200","12,143","12,252","167,831,197","1,058",0.95,1.01
"Peoria County, Illinois","3,938","92,843","92,910","93,121","1,821,053,399","1,507",1.06,1.09
"Perry County, Illinois",317,"3,256","3,265","3,278","28,046,814",661,0.83,0.74
"Piatt County, Illinois",321,"2,581","2,603","2,610","22,555,113",668,0.87,0.85
"Pike County, Illinois",366,"3,033","3,047","3,062","27,461,096",693,0.93,0.94
"Pope County, Illinois",39,302,304,307,"2,594,765",656,0.73,0.73
"Pulaski County, Illinois",89,833,840,825,"10,404,690",961,0.61,0.72
"Putnam County, Illinois",129,"1,414","1,503","1,644","19,405,929",982,0.99,1.04
"Randolph County, Illinois",550,"8,971","8,958","9,016","86,082,178",737,0.86,0.8
"Richland County, Illinois",391,"4,954","4,914","4,945","47,474,853",740,1,1.01
"Rock Island County, Illinois","2,759","61,111","60,627","61,245","829,883,744","1,047",0.98,0.95
"St. Clair County, Illinois","4,842","73,034","73,046","73,626","750,170,542",788,0.95,0.89
"Saline County, Illinois",468,"5,837","5,828","5,831","78,978,384","1,042",0.93,1.01
"Sangamon County, Illinois","4,576","76,888","76,783","77,527","910,605,468",909,0.71,0.61
"Schuyler County, Illinois",134,959,949,944,"9,268,429",750,0.75,0.78
"Scott County, Illinois",71,644,629,645,"6,526,613",785,0.77,0.86
"Shelby County, Illinois",392,"4,153","4,139","4,165","38,803,060",719,0.98,1
"Stark County, Illinois",111,937,944,959,"9,685,881",787,0.88,0.95
"Stephenson County, Illinois",955,"14,449","14,272","14,551","161,343,322",860,1,1.01
"Tazewell County, Illinois","2,519","39,940","39,499","39,919","496,799,473",961,1,1.02
"Union County, Illinois",310,"3,276","3,317","3,317","25,367,958",591,0.8,0.71
"Vermilion County, Illinois","1,245","20,480","20,396","20,522","218,220,954",820,0.92,0.9
"Wabash County, Illinois",259,"2,266","2,281","2,334","20,676,820",693,0.82,0.8
"Warren County, Illinois",336,"5,518","5,489","5,508","53,958,468",754,1,1.03
"Washington County, Illinois",355,"6,179","6,117","6,141","77,571,455",971,1.05,1.08
"Wayne County, Illinois",337,"2,866","2,861","2,893","23,625,823",632,0.89,0.9
"White County, Illinois",328,"3,460","3,387","3,410","32,355,767",728,0.95,0.98
"Whiteside County, Illinois","1,125","16,319","16,202","16,359","162,317,208",766,0.92,0.87
"Will County, Illinois","14,639","208,928","207,056","208,729","2,545,852,695",940,1.02,1.01
"Williamson County, Illinois","1,333","22,558","22,606","22,654","216,002,124",735,0.96,0.91
"Winnebago County, Illinois","5,780","112,476","111,706","111,811","1,439,407,459",989,1.06,1.05
"Woodford County, Illinois",673,"7,538","7,478","7,596","74,699,881",762,0.94,0.96
"Unknown Or Undefined, Illinois","53,414","139,219","142,548","144,820","3,539,333,278","1,915",1.17,1.16
"Adams County, Indiana",676,"11,759","11,700","11,776","112,175,415",735,0.99,0.98
"Allen County, Indiana","8,802","170,522","170,471","170,574","2,104,513,496",949,1.06,1.06
"Bartholomew County, Indiana","1,874","44,496","44,601","44,636","773,154,040","1,334",1.03,1.08
"Benton County, Indiana",188,"1,744","1,718","1,745","17,698,559",784,0.87,0.9
"Blackford County, Indiana",219,"2,573","2,553","2,551","22,952,902",690,0.97,0.98
"Boone County, Indiana","1,785","26,162","26,186","26,013","277,499,121",817,1.02,1
"Brown County, Indiana",291,"2,078","2,057","2,150","12,474,402",458,0.89,0.79
"Carroll County, Indiana",363,"4,466","4,556","4,497","42,184,355",720,0.98,1.01
"Cass County, Indiana",661,"11,400","11,464","11,527","101,672,904",682,0.93,0.89
"Clark County, Indiana","2,488","47,691","47,586","47,574","502,882,399",812,1.04,1.03
"Clay County, Indiana",459,"6,363","6,417","6,459","57,077,456",685,0.98,0.99
"Clinton County, Indiana",562,"9,197","9,269","9,293","95,343,720",793,0.99,1
"Crawford County, Indiana",132,"1,313","1,302","1,326","11,087,160",649,0.85,0.88
"Daviess County, Indiana",858,"10,237","10,250","10,356","90,971,687",681,0.99,0.97
"Dearborn County, Indiana",954,"11,728","11,749","11,518","105,895,372",698,0.94,0.88
"Decatur County, Indiana",621,"12,841","12,749","12,778","147,027,259",884,1.05,1.04
"DeKalb County, Indiana",935,"19,943","19,915","20,110","260,096,267","1,001",1.07,1.08
"Delaware County, Indiana","2,124","36,429","36,595","36,785","360,361,638",757,0.96,0.9
"Dubois County, Indiana","1,239","26,583","26,582","26,735","281,919,450",814,1.09,1.09
"Elkhart County, Indiana","4,731","125,991","125,682","126,247","1,536,162,444",938,1.1,1.1
"Fayette County, Indiana",388,"5,215","5,222","5,243","46,725,320",688,0.97,0.97
"Floyd County, Indiana","1,790","26,894","26,914","27,117","278,447,943",794,1.03,1
"Fountain County, Indiana",305,"3,983","3,974","3,986","35,613,256",688,0.98,0.97
"Franklin County, Indiana",320,"3,334","3,341","3,402","26,775,514",613,0.92,0.9
"Fulton County, Indiana",447,"4,801","4,816","4,861","43,282,199",690,0.91,0.89
"Gibson County, Indiana",681,"19,284","19,483","19,445","242,406,093",961,1.1,1.11
"Grant County, Indiana","1,148","23,131","23,354","22,937","236,630,360",787,1,0.99
"Greene County, Indiana",518,"4,451","4,423","4,470","36,705,193",635,0.81,0.77
"Hamilton County, Indiana","9,642","126,649","126,792","127,418","1,917,118,222","1,162",1.05,1.07
"Hancock County, Indiana","1,518","21,208","21,212","21,329","263,320,239",953,0.98,0.99
"Harrison County, Indiana",657,"8,178","8,108","8,168","74,726,499",705,0.93,0.91
"Hendricks County, Indiana","3,324","62,952","63,157","62,988","598,090,484",730,1.02,0.98
"Henry County, Indiana",764,"10,208","10,179","10,244","87,910,609",662,0.91,0.87
"Howard County, Indiana","1,667","34,032","34,138","34,074","462,102,973","1,043",1.04,1.06
"Huntington County, Indiana",832,"11,812","11,911","11,985","115,630,435",747,1.05,1.04
"Jackson County, Indiana",932,"18,592","18,644","18,609","220,376,985",911,1,0.99
"Jasper County, Indiana",780,"10,097","10,077","10,098","103,180,501",787,1.03,1.03
"Jay County, Indiana",374,"6,343","6,325","6,281","58,655,168",714,1.02,1.02
"Jefferson County, Indiana",611,"10,192","10,198","10,223","107,027,388",807,0.96,0.99
"Jennings County, Indiana",370,"6,105","6,079","6,188","59,115,037",743,0.98,0.98
"Johnson County, Indiana","3,311","47,856","47,756","48,020","473,456,069",761,1.02,1.01
"Knox County, Indiana",878,"12,980","12,924","12,956","126,229,734",750,0.88,0.86
"Kosciusko County, Indiana","1,896","35,549","35,596","36,035","496,817,666","1,070",1.08,1.1
"Lagrange County, Indiana",875,"12,677","12,678","12,710","128,298,562",778,1.06,1.07
"Lake County, Indiana","10,251","162,426","162,429","163,082","2,040,742,223",965,1.03,1.04
"LaPorte County, Indiana","2,206","33,354","33,265","33,548","341,006,657",786,0.99,0.98
"Lawrence County, Indiana",824,"11,778","11,804","11,923","124,320,926",808,0.99,1.01
"Madison County, Indiana","2,150","32,800","32,920","33,175","325,258,444",759,0.98,0.98
"Marion County, Indiana","24,176","520,779","523,141","524,832","8,461,768,296","1,245",1.03,1.03
"Marshall County, Indiana","1,013","16,047","16,026","16,153","156,525,006",749,1.04,1.04
"Martin County, Indiana",223,"2,607","2,586","2,607","28,814,006",852,0.41,0.27
"Miami County, Indiana",554,"6,686","6,796","6,885","58,556,062",663,0.86,0.8
"Monroe County, Indiana","2,979","46,699","47,037","46,737","459,708,232",755,0.87,0.7
"Montgomery County, Indiana",785,"12,949","12,956","13,075","154,320,054",914,1.02,1.04
"Morgan County, Indiana","1,202","12,727","12,638","12,818","119,037,528",719,0.97,0.97
"Newton County, Indiana",249,"2,489","2,545","2,559","25,517,344",776,0.93,0.96
"Noble County, Indiana",857,"16,670","16,638","16,737","170,895,670",788,1.06,1.06
"Ohio County, Indiana",66,982,999,994,"6,819,194",529,0.88,0.82
"Orange County, Indiana",343,"6,822","6,864","6,710","56,864,403",643,1.03,1.02
"Owen County, Indiana",289,"4,185","4,279","4,260","47,468,955",861,0.99,1.02
"Parke County, Indiana",252,"2,013","1,998","2,049","16,197,407",617,0.78,0.78
"Perry County, Indiana",336,"4,998","5,035","5,038","50,641,273",775,0.91,0.92
"Pike County, Indiana",162,"2,055","2,054","2,064","27,556,625","1,030",0.89,0.97
"Porter County, Indiana","3,650","53,503","54,182","54,107","615,959,624",879,1.04,1.05
"Posey County, Indiana",486,"7,545","7,561","7,583","125,616,145","1,278",1.02,1.08
"Pulaski County, Indiana",329,"3,799","3,782","3,838","44,512,523",900,0.92,0.94
"Putnam County, Indiana",641,"10,788","11,431","11,423","101,082,892",693,0.97,0.95
"Randolph County, Indiana",453,"5,082","5,045","5,137","49,463,275",748,0.93,0.97
"Ripley County, Indiana",683,"11,206","11,178","11,398","119,590,031",817,1.06,1.06
"Rush County, Indiana",371,"3,895","3,955","3,950","38,546,850",754,0.92,0.92
"St. Joseph County, Indiana","5,732","110,495","110,520","110,901","1,259,662,800",876,1.05,1.05
"Scott County, Indiana",366,"7,114","7,103","7,060","66,615,492",723,1.01,1
"Shelby County, Indiana",908,"15,315","15,337","15,456","171,655,672",859,1,0.99
"Spencer County, Indiana",422,"5,044","5,119","5,375","63,065,253",937,0.99,1.03
"Starke County, Indiana",298,"3,135","3,112","3,171","24,584,294",602,0.9,0.88
"Steuben County, Indiana",930,"14,562","14,609","14,614","133,390,098",703,1.07,1.06
"Sullivan County, Indiana",334,"3,863","3,883","3,943","46,899,933",926,0.8,0.86
"Switzerland County, Indiana",126,"1,635","1,614","1,623","12,086,729",573,0.91,0.87
"Tippecanoe County, Indiana","3,455","67,534","68,142","68,087","799,384,955",905,0.92,0.86
"Tipton County, Indiana",295,"4,612","4,620","4,689","56,888,118",943,1.01,1.04
"Union County, Indiana",128,920,919,931,"6,942,586",578,0.82,0.82
"Vanderburgh County, Indiana","4,728","98,477","99,198","99,691","1,250,600,060",971,1.07,1.07
"Vermillion County, Indiana",273,"3,475","3,476","3,501","52,123,967","1,151",0.98,1.05
"Vigo County, Indiana","2,289","40,010","40,104","40,339","413,160,619",792,0.99,0.96
"Wabash County, Indiana",719,"10,478","10,588","10,697","104,018,153",756,1.03,1.04
"Warren County, Indiana",121,"1,524","1,524","1,524","16,996,038",858,0.96,0.98
"Warrick County, Indiana","1,151","14,722","15,013","15,274","187,304,572",960,1.02,1.04
"Washington County, Indiana",446,"5,008","5,030","5,017","43,494,057",667,0.95,0.94
"Wayne County, Indiana","1,344","25,993","26,086","26,043","259,823,038",768,1.01,1.01
"Wells County, Indiana",588,"9,401","9,369","9,444","92,523,600",757,1.03,1.03
"White County, Indiana",612,"7,515","7,531","7,645","74,008,911",753,0.99,1.01
"Whitley County, Indiana",677,"11,447","11,464","11,599","131,196,215",877,1.04,1.05
"Unknown Or Undefined, Indiana","18,674","75,251","76,252","76,321","1,310,639,126","1,328",1.16,1.15
"Adair County, Iowa",267,"2,281","2,267","2,261","19,624,686",665,0.97,0.95
"Adams County, Iowa",134,"1,036","1,040","1,037","9,905,965",734,0.97,0.97
"Allamakee County, Iowa",432,"3,833","3,783","3,796","32,944,317",666,0.91,0.89
"Appanoose County, Iowa",313,"3,717","3,725","3,743","33,423,417",690,0.99,0.97
"Audubon County, Iowa",200,"1,463","1,447","1,453","12,827,141",678,0.94,0.91
"Benton County, Iowa",620,"4,350","4,315","4,327","41,465,008",737,0.87,0.85
"Black Hawk County, Iowa","3,746","64,436","64,319","64,502","743,172,794",887,1.02,1
"Boone County, Iowa",683,"6,547","6,515","6,529","64,722,334",762,0.87,0.82
"Bremer County, Iowa",656,"7,873","7,838","7,856","84,062,106",823,0.95,0.93
"Buchanan County, Iowa",562,"5,102","5,020","5,037","46,538,657",708,0.92,0.87
"Buena Vista County, Iowa",600,"9,061","9,072","9,097","93,660,996",794,0.98,0.97
"Butler County, Iowa",379,"2,512","2,477","2,493","22,701,676",700,0.9,0.89
"Calhoun County, Iowa",278,"2,117","2,112","2,113","18,282,742",665,0.89,0.86
"Carroll County, Iowa",923,"9,994","9,895","9,959","101,097,890",782,1.05,1.04
"Cass County, Iowa",495,"4,309","4,261","4,301","36,976,195",663,0.88,0.82
"Cedar County, Iowa",529,"4,190","4,137","4,181","41,500,542",766,0.93,0.93
"Cerro Gordo County, Iowa","1,593","21,544","21,296","21,310","218,119,223",785,1.03,1.01
"Cherokee County, Iowa",392,"3,783","3,743","3,753","36,529,622",747,0.93,0.9
"Chickasaw County, Iowa",401,"4,207","4,170","4,187","42,207,662",775,1.02,1.01
"Clarke County, Iowa",210,"3,678","3,637","3,647","35,794,491",754,0.97,0.94
"Clay County, Iowa",678,"6,831","6,777","6,819","67,415,578",762,0.96,0.92
"Clayton County, Iowa",565,"5,328","5,136","5,227","47,489,114",698,0.95,0.91
"Clinton County, Iowa","1,335","17,462","17,322","17,455","190,034,809",839,1.02,1.03
"Crawford County, Iowa",440,"5,376","5,324","5,348","56,784,762",817,0.95,0.92
"Dallas County, Iowa","2,575","41,331","41,072","41,265","674,805,525","1,259",1.07,1.09
"Davis County, Iowa",220,"1,436","1,425","1,438","11,919,050",640,0.83,0.75
"Decatur County, Iowa",188,"1,848","1,830","1,819","14,342,840",602,0.9,0.86
"Delaware County, Iowa",525,"5,106","5,102","5,161","53,565,192",804,0.94,0.91
"Des Moines County, Iowa","1,290","18,781","18,683","18,815","203,290,335",834,1.03,1.03
"Dickinson County, Iowa",819,"7,465","7,476","7,539","77,308,590",794,1.01,0.99
"Dubuque County, Iowa","3,212","53,252","52,796","53,018","616,574,742",895,1.08,1.07
"Emmet County, Iowa",307,"3,034","3,017","3,010","28,511,547",726,0.95,0.93
"Fayette County, Iowa",623,"5,803","5,786","5,821","51,433,508",682,0.98,0.96
"Floyd County, Iowa",459,"5,235","5,228","5,227","58,234,739",857,0.99,0.99
"Franklin County, Iowa",339,"3,050","3,046","3,070","30,710,575",773,0.95,0.94
"Fremont County, Iowa",237,"1,700","1,670","1,670","15,605,877",715,0.93,0.93
"Greene County, Iowa",284,"2,503","2,483","2,485","25,646,957",792,0.88,0.9
"Grundy County, Iowa",331,"3,078","3,061","3,038","34,019,188",855,0.95,0.98
"Guthrie County, Iowa",320,"2,085","2,036","2,041","21,991,809",824,0.81,0.83
"Hamilton County, Iowa",441,"4,427","4,372","4,359","45,164,029",792,0.91,0.9
"Hancock County, Iowa",330,"5,517","5,468","5,457","62,441,262",876,1.05,1.06
"Hardin County, Iowa",609,"5,019","4,943","5,032","51,040,679",786,0.87,0.88
"Harrison County, Iowa",408,"3,076","3,029","3,030","29,098,560",735,0.9,0.91
"Henry County, Iowa",566,"7,719","7,685","7,793","79,470,510",791,0.97,0.94
"Howard County, Iowa",307,"3,394","3,351","3,274","30,597,213",705,0.95,0.94
"Humboldt County, Iowa",315,"3,034","2,977","3,007","31,292,383",801,0.94,0.94
"Ida County, Iowa",278,"3,436","3,399","3,378","40,157,357",907,1.05,1.07
"Iowa County, Iowa",664,"8,891","8,863","8,924","86,465,886",748,1.05,1.04
"Jackson County, Iowa",625,"5,043","4,977","5,061","42,262,372",647,0.97,0.94
"Jasper County, Iowa",852,"9,135","9,020","9,075","86,151,599",730,0.96,0.93
"Jefferson County, Iowa",745,"6,439","6,427","6,426","63,193,455",756,0.98,0.96
"Johnson County, Iowa","4,223","53,398","53,817","53,898","560,779,089",803,0.76,0.61
"Jones County, Iowa",591,"4,777","4,671","4,701","44,159,479",720,0.92,0.89
"Keokuk County, Iowa",266,"1,607","1,585","1,603","14,551,107",700,0.86,0.84
"Kossuth County, Iowa",579,"5,459","5,423","5,488","56,780,870",800,0.97,0.98
"Lee County, Iowa",983,"13,043","12,938","12,991","146,793,499",869,1.01,1
"Linn County, Iowa","6,803","115,755","114,783","115,664","1,653,147,108","1,102",1.05,1.06
"Louisa County, Iowa",230,"3,064","3,068","3,092","32,775,201",820,0.96,0.97
"Lucas County, Iowa",201,"3,004","2,986","2,992","32,536,764",836,0.97,0.97
"Lyon County, Iowa",473,"3,870","3,867","3,873","35,077,672",697,1,0.99
"Madison County, Iowa",460,"2,695","2,670","2,716","23,404,153",668,0.86,0.81
"Mahaska County, Iowa",575,"6,388","6,342","6,393","73,188,392",883,0.96,0.95
"Marion County, Iowa",947,"15,574","15,502","15,655","203,688,229","1,006",1.05,1.07
"Marshall County, Iowa",931,"13,117","13,137","13,174","147,833,844",865,0.94,0.93
"Mills County, Iowa",352,"2,037","2,033","2,038","22,698,036",858,0.67,0.65
"Mitchell County, Iowa",355,"3,570","3,489","3,513","37,227,646",813,0.97,0.98
"Monona County, Iowa",263,"1,978","1,976","1,992","17,337,116",673,0.91,0.9
"Monroe County, Iowa",207,"2,930","2,937","2,933","36,450,895",956,0.99,0.99
"Montgomery County, Iowa",350,"3,111","3,115","3,152","29,541,440",727,0.9,0.85
"Muscatine County, Iowa","1,114","20,201","20,007","20,078","256,881,105",983,1.04,1.04
"Obrien County, Iowa",555,"5,356","5,302","5,340","51,549,349",744,0.98,0.99
"Osceola County, Iowa",229,"2,071","2,042","2,077","19,992,728",745,1.02,1.01
"Page County, Iowa",432,"4,886","4,843","4,881","45,437,251",718,0.92,0.88
"Palo Alto County, Iowa",315,"2,711","2,697","2,725","25,920,383",735,0.85,0.86
"Plymouth County, Iowa",775,"9,900","9,874","9,954","123,774,151",961,1.01,1.03
"Pocahontas County, Iowa",247,"2,398","2,361","2,395","26,034,728",840,0.94,0.96
"Polk County, Iowa","17,317","260,780","259,750","259,916","4,017,904,557","1,188",1.03,1.03
"Pottawattamie County, Iowa","2,408","33,928","33,882","33,966","362,632,556",822,1.01,0.98
"Poweshiek County, Iowa",631,"8,487","8,583","8,586","103,436,871",930,1.06,1.07
"Ringgold County, Iowa",155,909,899,896,"6,736,063",575,0.76,0.65
"Sac County, Iowa",346,"2,284","2,260","2,316","22,403,621",754,0.92,0.94
"Scott County, Iowa","5,581","80,059","79,497","79,838","928,391,752",895,1.05,1.04
"Shelby County, Iowa",395,"4,637","4,630","4,592","48,913,708",814,0.96,0.96
"Sioux County, Iowa","1,426","18,343","18,295","18,487","189,022,828",791,1.04,1.04
"Story County, Iowa","2,550","30,990","31,442","31,420","375,509,280",923,0.81,0.74
"Tama County, Iowa",375,"3,492","3,441","3,481","34,731,174",770,0.75,0.76
"Taylor County, Iowa",154,"1,638","1,626","1,606","15,160,698",718,0.94,0.94
"Union County, Iowa",381,"4,520","4,444","4,464","39,682,441",682,0.89,0.83
"Van Buren County, Iowa",167,"1,358","1,316","1,320","12,288,229",710,0.84,0.84
"Wapello County, Iowa",800,"13,692","13,699","13,691","136,693,109",768,0.99,0.97
"Warren County, Iowa","1,060","8,778","8,731","8,732","83,987,999",739,0.91,0.88
"Washington County, Iowa",723,"6,500","6,313","6,447","53,544,133",642,0.95,0.89
"Wayne County, Iowa",159,"1,235","1,219","1,243","11,013,756",687,0.78,0.74
"Webster County, Iowa","1,122","14,891","14,839","14,924","171,658,022",887,0.98,0.98
"Winnebago County, Iowa",365,"3,480","3,480","3,474","30,836,812",682,0.97,0.96
"Winneshiek County, Iowa",679,"7,757","7,840","7,916","76,795,240",754,0.93,0.94
"Woodbury County, Iowa","3,081","44,437","44,341","44,595","459,299,886",795,1.02,0.99
"Worth County, Iowa",211,"1,890","1,871","1,878","17,013,773",696,0.97,0.96
"Wright County, Iowa",453,"4,492","4,478","4,739","49,748,791",837,0.96,0.95
"Unknown Or Undefined, Iowa",19,"1,703","1,711","1,693","29,424,756","1,330",1.18,1.16
"Allen County, Kansas",331,"4,267","4,238","4,312","39,772,100",716,0.86,0.91
"Anderson County, Kansas",194,"1,436","1,478","1,494","12,483,764",654,0.86,0.89
"Atchison County, Kansas",352,"4,720","4,647","4,649","65,135,244","1,072",0.98,1.04
"Barber County, Kansas",174,932,927,932,"8,503,911",703,0.69,0.74
"Barton County, Kansas",875,"9,781","9,830","9,812","98,336,442",771,0.95,0.97
"Bourbon County, Kansas",332,"4,895","4,860","4,869","47,651,149",752,0.95,0.99
"Brown County, Kansas",280,"3,702","3,687","3,677","40,090,120",836,0.83,0.91
"Butler County, Kansas","1,329","13,254","13,221","13,407","131,145,421",759,0.83,0.86
"Chase County, Kansas",69,695,697,704,"6,443,680",709,0.9,0.94
"Chautauqua County, Kansas",69,477,465,489,"3,509,478",566,0.77,0.79
"Cherokee County, Kansas",354,"4,567","4,537","4,536","47,009,793",795,0.9,0.95
"Cheyenne County, Kansas",105,632,623,630,"5,827,154",713,0.86,0.92
"Clark County, Kansas",63,324,325,321,"2,831,236",674,0.52,0.52
"Clay County, Kansas",254,"1,985","1,992","2,003","14,536,367",561,0.79,0.77
"Cloud County, Kansas",261,"2,271","2,286","2,261","18,133,347",614,0.86,0.89
"Coffey County, Kansas",222,"2,341","2,427","2,392","55,063,607","1,775",0.8,0.98
"Comanche County, Kansas",67,373,372,384,"2,599,253",531,0.72,0.69
"Cowley County, Kansas",685,"10,120","10,211","10,220","105,024,812",793,0.88,0.91
"Crawford County, Kansas",912,"12,681","12,802","12,776","114,788,289",692,0.88,0.88
"Decatur County, Kansas",103,679,678,674,"5,270,236",599,0.85,0.92
"Dickinson County, Kansas",433,"4,432","4,290","4,169","37,091,693",664,0.83,0.86
"Doniphan County, Kansas",165,"1,371","1,359","1,376","13,253,324",745,0.69,0.8
"Douglas County, Kansas","3,025","36,131","36,703","36,502","324,809,312",686,0.87,0.77
"Edwards County, Kansas",103,695,690,689,"6,359,134",708,0.87,0.91
"Elk County, Kansas",65,292,281,277,"1,790,733",486,0.56,0.59
"Ellis County, Kansas","1,039","12,125","12,205","12,232","112,259,886",709,0.94,0.93
"Ellsworth County, Kansas",141,"1,410","1,375","1,391","12,236,434",676,0.71,0.71
"Finney County, Kansas","1,075","16,665","16,642","16,563","165,932,081",768,0.99,0.99
"Ford County, Kansas",783,"14,067","14,215","14,127","163,726,533",891,0.99,1.01
"Franklin County, Kansas",566,"7,163","7,191","7,214","67,162,944",719,0.92,0.9
"Geary County, Kansas",625,"7,121","7,101","7,042","59,182,350",642,0.65,0.51
"Gove County, Kansas",128,838,840,872,"7,211,478",653,0.79,0.83
"Graham County, Kansas",88,518,518,495,"4,771,565",719,0.71,0.77
"Grant County, Kansas",228,"2,195","2,184","2,178","27,062,055",952,0.92,0.98
"Gray County, Kansas",344,"2,158","2,136","2,188","23,710,139",844,0.82,0.91
"Greeley County, Kansas",52,310,307,298,"2,550,933",643,0.57,0.6
"Greenwood County, Kansas",175,"1,167","1,152","1,129","10,443,906",699,0.81,0.9
"Hamilton County, Kansas",77,"1,207","1,240","1,214","11,878,632",749,0.97,1.01
"Harper County, Kansas",178,"1,572","1,684","1,846","18,036,452",816,0.82,0.86
"Harvey County, Kansas",709,"12,085","12,128","12,160","120,033,383",762,1,1.02
"Haskell County, Kansas",142,"1,092","1,094","1,104","12,732,985",893,0.78,0.84
"Hodgeman County, Kansas",55,293,294,283,"2,456,306",652,0.6,0.62
"Jackson County, Kansas",259,"2,176","2,154","2,171","16,772,301",595,0.61,0.55
"Jefferson County, Kansas",309,"2,451","2,420","2,454","22,373,763",705,0.8,0.85
"Jewell County, Kansas",73,391,385,377,"2,940,177",588,0.59,0.6
"Johnson County, Kansas","23,666","315,906","314,176","313,985","4,872,147,104","1,191",1.07,1.08
"Kearny County, Kansas",113,752,739,760,"6,951,580",713,0.62,0.64
"Kingman County, Kansas",181,"1,646","1,589","1,558","14,545,281",700,0.85,0.92
"Kiowa County, Kansas",82,784,768,782,"5,652,267",559,0.81,0.85
"Labette County, Kansas",424,"6,214","6,118","6,128","57,294,877",716,0.8,0.82
