,Metropolitan Areas,Pop Est Jul 2018
714,"Marietta, OH Micro Area",60155
715,"Marinette, WI-MI Micro Area",63417
716,"Marion, IN Micro Area",65936
717,"Marion, NC Micro Area",45507
718,"Marion, OH Micro Area",65256
719,"Marquette, MI Micro Area",66516
720,"Marshall, MN Micro Area",25629
721,"Marshall, MO Micro Area",22895
722,"Marshall, TX Micro Area",66726
723,"Marshalltown, IA Micro Area",39981
724,"Martin, TN Micro Area",33415
725,"Martinsville, VA Micro Area",63855
726,"Maryville, MO Micro Area",22304
727,"Mason City, IA Micro Area",50100
728,"Mayfield, KY Micro Area",37317
729,"Maysville, KY Micro Area",17150
730,"McAlester, OK Micro Area",43877
731,"McComb, MS Micro Area",51889
732,"McMinnville, TN Micro Area",40878
733,"McPherson, KS Micro Area",28537
734,"Meadville, PA Micro Area",85063
735,"Menomonie, WI Micro Area",45131
736,"Meridian, MS Micro Area",100948
737,"Merrill, WI Micro Area",27689
738,"Mexico, MO Micro Area",25473
739,"Miami, OK Micro Area",31175
740,"Middlesborough, KY Micro Area",26569
741,"Milledgeville, GA Micro Area",53171
742,"Mineral Wells, TX Micro Area",28875
743,"Minot, ND Micro Area",75934
744,"Mitchell, SD Micro Area",23166
745,"Moberly, MO Micro Area",24763
746,"Montrose, CO Micro Area",42214
747,"Morehead City, NC Micro Area",69524
748,"Morgan City, LA Micro Area",49774
749,"Moscow, ID Micro Area",40134
750,"Moses Lake, WA Micro Area",97331
751,"Moultrie, GA Micro Area",45592
752,"Mountain Home, AR Micro Area",41619
753,"Mountain Home, ID Micro Area",27259
754,"Mount Airy, NC Micro Area",71948
755,"Mount Pleasant, MI Micro Area",70562
756,"Mount Pleasant, TX Micro Area",33033
757,"Mount Sterling, KY Micro Area",47037
758,"Mount Vernon, IL Micro Area",37820
759,"Mount Vernon, OH Micro Area",61893
760,"Murray, KY Micro Area",39135
761,"Muscatine, IA Micro Area",42929
762,"Muskogee, OK Micro Area",68362
763,"Nacogdoches, TX Micro Area",65711
764,"Natchez, MS-LA Micro Area",50764
765,"Natchitoches, LA Micro Area",38659
766,"Newberry, SC Micro Area",38520
767,"New Castle, IN Micro Area",48271
768,"New Castle, PA Micro Area",86184
769,"New Philadelphia-Dover, OH Micro Area",92176
770,"Newport, OR Micro Area",49388
771,"Newport, TN Micro Area",35774
772,"Newton, IA Micro Area",37147
773,"New Ulm, MN Micro Area",25111
774,"Nogales, AZ Micro Area",46511
775,"Norfolk, NE Micro Area",48504
776,"North Platte, NE Micro Area",36426
777,"North Vernon, IN Micro Area",27611
778,"North Wilkesboro, NC Micro Area",68557
779,"Norwalk, OH Micro Area",58504
780,"Oak Harbor, WA Micro Area",84460
781,"Ogdensburg-Massena, NY Micro Area",108047
782,"Oil City, PA Micro Area",51266
783,"Okeechobee, FL Micro Area",41537
784,"Olean, NY Micro Area",76840
785,"Oneonta, NY Micro Area",59749
786,"Ontario, OR-ID Micro Area",54276
787,"Opelousas, LA Micro Area",82764
788,"Orangeburg, SC Micro Area",86934
789,"Oskaloosa, IA Micro Area",22000
790,"Othello, WA Micro Area",19759
791,"Ottawa, KS Micro Area",25631
792,"Ottawa-Peru, IL Micro Area",148163
793,"Ottumwa, IA Micro Area",44222
794,"Owatonna, MN Micro Area",36803
795,"Owosso, MI Micro Area",68192
796,"Oxford, MS Micro Area",54793
797,"Oxford, NC Micro Area",60115
798,"Ozark, AL Micro Area",48956
799,"Paducah, KY-IL Micro Area",96647
800,"Pahrump, NV Micro Area",45346
801,"Palatka, FL Micro Area",74163
802,"Palestine, TX Micro Area",58057
803,"Pampa, TX Micro Area",21895
804,"Paragould, AR Micro Area",45325
805,"Paris, TN Micro Area",32358
806,"Paris, TX Micro Area",49728
807,"Parsons, KS Micro Area",19964
808,"Payson, AZ Micro Area",53889
809,"Pecos, TX Micro Area",15695
810,"Pella, IA Micro Area",33407
811,"Peru, IN Micro Area",35567
812,"Picayune, MS Micro Area",55387
813,"Pierre, SD Micro Area",22064
814,"Pinehurst-Southern Pines, NC Micro Area",98682
815,"Pittsburg, KS Micro Area",39019
816,"Plainview, TX Micro Area",33830
817,"Platteville, WI Micro Area",51554
818,"Plattsburgh, NY Micro Area",80695
819,"Plymouth, IN Micro Area",46248
820,"Point Pleasant, WV-OH Micro Area",56697
821,"Ponca City, OK Micro Area",44161
822,"Pontiac, IL Micro Area",35761
823,"Poplar Bluff, MO Micro Area",42639
824,"Portales, NM Micro Area",18743
825,"Port Angeles, WA Micro Area",76737
826,"Port Clinton, OH Micro Area",40769
827,"Port Lavaca, TX Micro Area",21561
828,"Portsmouth, OH Micro Area",75502
829,"Pottsville, PA Micro Area",142067
830,"Price, UT Micro Area",20269
831,"Prineville, OR Micro Area",23867
832,"Pullman, WA Micro Area",49791
833,"Quincy, IL-MO Micro Area",75546
834,"Raymondville, TX Micro Area",21515
835,"Red Bluff, CA Micro Area",63916
836,"Red Wing, MN Micro Area",46403
837,"Rexburg, ID Micro Area",52472
838,"Richmond, IN Micro Area",65936
839,"Richmond-Berea, KY Micro Area",109118
840,"Rio Grande City, TX Micro Area",64525
841,"Riverton, WY Micro Area",39531
842,"Roanoke Rapids, NC Micro Area",70250
843,"Rochelle, IL Micro Area",50923
844,"Rockingham, NC Micro Area",44887
845,"Rock Springs, WY Micro Area",43051
846,"Rolla, MO Micro Area",44732
847,"Roseburg, OR Micro Area",110283
848,"Roswell, NM Micro Area",64689
849,"Ruidoso, NM Micro Area",19556
850,"Russellville, AR Micro Area",85535
851,"Ruston, LA Micro Area",47196
852,"Rutland, VT Micro Area",58672
853,"Safford, AZ Micro Area",38072
854,"St. Marys, GA Micro Area",53677
855,"St. Marys, PA Micro Area",30169
856,"Salem, OH Micro Area",102665
857,"Salina, KS Micro Area",60203
858,"Sandpoint, ID Micro Area",44727
859,"Sandusky, OH Micro Area",74615
860,"Sanford, NC Micro Area",61452
861,"Sault Ste. Marie, MI Micro Area",37517
862,"Sayre, PA Micro Area",60833
863,"Scottsbluff, NE Micro Area",37906
864,"Scottsboro, AL Micro Area",51736
865,"Searcy, AR Micro Area",78727
866,"Sedalia, MO Micro Area",42542
867,"Selinsgrove, PA Micro Area",40540
868,"Selma, AL Micro Area",38310
869,"Seneca, SC Micro Area",78374
870,"Seneca Falls, NY Micro Area",34300
871,"Sevierville, TN Micro Area",97892
872,"Seymour, IN Micro Area",44111
873,"Shawano, WI Micro Area",45454
874,"Shawnee, OK Micro Area",72679
875,"Shelby, NC Micro Area",97645
876,"Shelbyville, TN Micro Area",49038
877,"Shelton, WA Micro Area",65507
878,"Sheridan, WY Micro Area",30233
879,"Show Low, AZ Micro Area",110445
880,"Sidney, OH Micro Area",48627
881,"Sikeston, MO Micro Area",38458
882,"Silver City, NM Micro Area",27346
883,"Snyder, TX Micro Area",16866
884,"Somerset, KY Micro Area",64623
885,"Somerset, PA Micro Area",73952
886,"Sonora, CA Micro Area",54539
887,"Spearfish, SD Micro Area",25741
888,"Spencer, IA Micro Area",16134
889,"Spirit Lake, IA Micro Area",17153
890,"Starkville, MS Micro Area",49599
891,"Statesboro, GA Micro Area",77296
892,"Steamboat Springs, CO Micro Area",25733
893,"Stephenville, TX Micro Area",42446
894,"Sterling, CO Micro Area",21528
895,"Sterling, IL Micro Area",55626
896,"Stevens Point, WI Micro Area",70942
897,"Stillwater, OK Micro Area",82040
898,"Storm Lake, IA Micro Area",19874
899,"Sturgis, MI Micro Area",61043
900,"Sulphur Springs, TX Micro Area",36810
901,"Summerville, GA Micro Area",24790
902,"Summit Park, UT Micro Area",41933
903,"Sunbury, PA Micro Area",91083
904,"Susanville, CA Micro Area",30802
905,"Sweetwater, TX Micro Area",14751
906,"Tahlequah, OK Micro Area",48675
907,"Talladega-Sylacauga, AL Micro Area",90543
908,"Taos, NM Micro Area",32835
909,"Taylorville, IL Micro Area",32661
910,"The Dalles, OR Micro Area",26505
911,"Thomaston, GA Micro Area",26215
912,"Thomasville, GA Micro Area",44448
913,"Tiffin, OH Micro Area",55207
914,"Tifton, GA Micro Area",40571
915,"Toccoa, GA Micro Area",26035
916,"Torrington, CT Micro Area",181111
917,"Traverse City, MI Micro Area",149914
918,"Troy, AL Micro Area",33338
919,"Truckee-Grass Valley, CA Micro Area",99696
920,"Tullahoma-Manchester, TN Micro Area",104001
921,"Tupelo, MS Micro Area",140552
922,"Ukiah, CA Micro Area",87606
923,"Union City, TN-KY Micro Area",36387
924,"Urbana, OH Micro Area",38754
925,"Uvalde, TX Micro Area",26846
926,"Valley, AL Micro Area",33615
927,"Van Wert, OH Micro Area",28281
928,"Vermillion, SD Micro Area",14041
929,"Vernal, UT Micro Area",35438
930,"Vernon, TX Micro Area",12820
931,"Vicksburg, MS Micro Area",55178
932,"Vidalia, GA Micro Area",36080
933,"Vincennes, IN Micro Area",36895
934,"Vineyard Haven, MA Micro Area",17352
935,"Wabash, IN Micro Area",31280
936,"Wahpeton, ND-MN Micro Area",22493
937,"Wapakoneta, OH Micro Area",45804
938,"Warren, PA Micro Area",39498
939,"Warrensburg, MO Micro Area",53652
940,"Warsaw, IN Micro Area",79344
941,"Washington, IN Micro Area",33147
942,"Washington, NC Micro Area",47079
943,"Washington Court House, OH Micro Area",28666
944,"Watertown, SD Micro Area",28015
945,"Watertown-Fort Atkinson, WI Micro Area",85129
946,"Wauchula, FL Micro Area",27245
947,"Waycross, GA Micro Area",55069
948,"Weatherford, OK Micro Area",29036
949,"West Plains, MO Micro Area",40076
950,"West Point, MS Micro Area",19386
951,"Whitewater-Elkhorn, WI Micro Area",103718
952,"Williston, ND Micro Area",35350
953,"Willmar, MN Micro Area",42855
954,"Wilmington, OH Micro Area",42057
955,"Wilson, NC Micro Area",81455
956,"Winnemucca, NV Micro Area",16786
957,"Winona, MN Micro Area",50825
958,"Wisconsin Rapids-Marshfield, WI Micro Area",73055
959,"Woodward, OK Micro Area",20222
960,"Wooster, OH Micro Area",115967
961,"Worthington, MN Micro Area",21924
962,"Yankton, SD Micro Area",22869
963,"Zanesville, OH Micro Area",86183
964,"Zapata, TX Micro Area",14190
965,Puerto Rico,3195153
966,In metropolitan statistical area,3054478
967,"Aguadilla-Isabela, PR",289735
968,"Arecibo, PR",174271
969,"Guayama, PR",73000
970,"Mayagüez, PR",87448
971,"Ponce, PR",285709
972,"San Germán, PR",121078
973,"San Juan-Carolina-Caguas, PR",2023237
974,In micropolitan statistical area,117214
975,"Adjuntas, PR Micro Area",17302
976,"Coamo, PR Micro Area",37845
977,"Coco, PR Micro Area",27083
978,"Jayuya, PR Micro Area",13947
979,"Santa Isabel, PR Micro Area",21037
